,importance
C6orf97,0.03612675780553732
TBC1D9,0.0211160508111942
ESR1,0.020230952136068122
NGFR,0.016757788433208017
CT62,0.01641088791254541
SPARCL1,0.01635654600127823
AGR3,0.01580423626681527
ITPRIPL1,0.015756877674876938
ERBB4,0.015483391677574225
IL33,0.015000759718543049
PSAT1,0.013690721321728326
DNALI1,0.013295529797431633
SFRP1,0.013239321358950874
THSD4,0.012622273178843369
CCNE1,0.012444105914327845
LOC145837,0.0119893400938845
BOC,0.011736557428047863
ABCA8,0.011568484209612427
ITM2A,0.011377406553538177
KLHL29,0.01129647062807686
SCN4B,0.010244186161912418
LHFP,0.010055547329789052
GPR77,0.010037391448464685
SDPR,0.00979019125449363
MAPT,0.009718937954369235
SCUBE2,0.00954611497379058
PGM5,0.009163662201767179
RABEP1,0.009163345222720476
FAM171A1,0.009086590523335767
TACR1,0.008954022967613441
CA12,0.008731509093858301
OSR1,0.007961805912099341
CLSTN2,0.007941808194082542
CLDN11,0.007851672674095297
TRPM6,0.007428845383909579
XBP1,0.007235579027660313
MMRN2,0.007220569329151946
ABAT,0.007199622672976882
S100B,0.007074912166381255
SCN2B,0.00704575833426213
CYP2B7P1,0.006884694677745453
CDC20,0.006790021465790873
FREM1,0.006715781542510009
SPRY2,0.006459991958344437
C2orf88,0.0064200254233390906
LRRC70,0.006052476965954719
PROS1,0.005990725205543738
KIF2C,0.0059415443303249505
CENPA,0.005930726363952628
MEOX2,0.005922465029985959
